ts,px,py,pz,vx,vy,vz,ax,ay,az
0.84,3.2679600000000004,4.5855279125659685,3.0,1.8104414333848455,-0.8498834133476345,0.0,-1.2060282809406075,-2.6701116134723923,0.0
0.86,3.30368,4.567516454632794,3.0,1.7858152798661253,-0.900479753351886,0.0,-1.2313076759360109,-2.5298170002125753,0.0
0.88,3.33888,4.5485609448780036,3.0,1.760907458813472,-0.9482641622960765,0.0,-1.2453910526326606,-2.389220447209522,0.0
0.9,3.3736,4.5286933804940075,3.0,1.7358923158757191,-0.9933165999235252,0.0,-1.2507571468876488,-2.252621881372435,0.0
0.92,3.4078,4.507991082658622,3.0,1.710949232933148,-1.0356894912692085,0.0,-1.2471541471285597,-2.118644567284167,0.0
0.9400000000000001,3.44156,4.486459381317392,3.0,1.6862347182221442,-1.075459192653206,0.0,-1.235725735550186,-1.9884850691998746,0.0
0.96,3.47476,4.464232057097818,3.0,1.6619258638927947,-1.112655572459055,0.0,-1.2154427164674741,-1.85981899029245,0.0
0.98,3.5075600000000002,4.441259216581416,3.0,1.6381624995843478,-1.1473550561859926,0.0,-1.1881682154223472,-1.7349741863468826,0.0
1.0,3.53984,4.4176823055426695,3.0,1.6150758301788748,-1.179631324936744,0.0,-1.1543334702736496,-1.6138134375375701,0.0
1.02,3.57168,4.393504351381795,3.0,1.592816992439666,-1.2095180976717363,0.0,-1.112941886960439,-1.4943386367496148,0.0
1.04,3.60312,4.368753586616822,3.0,1.5714726843382965,-1.2371231152874755,0.0,-1.067215405068478,-1.3802508807869596,0.0
1.06,3.63416,4.34348955756101,3.0,1.5511506071999435,-1.2625101163092702,0.0,-1.0161038569176495,-1.2693500510897349,0.0
1.08,3.6648,4.317774433384956,3.0,1.5319630363849246,-1.2857251864804864,0.0,-0.9593785407509436,-1.1607535085608078,0.0
1.1,3.69508,4.291637855833839,3.0,1.5140004323959473,-1.306829250784082,0.0,-0.8981301994488655,-1.0552032151797786,0.0
1.12,3.725,4.2651440615731255,3.0,1.4973446885527955,-1.3258804183118218,0.0,-0.8327871921575913,-0.9525583763869916,0.0
1.1400000000000001,3.75464,4.238286256712682,3.0,1.4820596161570865,-1.342944263235191,0.0,-0.7642536197854488,-0.8531922461684549,0.0
1.16,3.78404,4.211091082695082,3.0,1.46819454723994,-1.3580886463905464,0.0,-0.6932534458573225,-0.7572191577677745,0.0
1.18,3.81312,4.1836988374205335,3.0,1.455829352020943,-1.3713354432064682,0.0,-0.6182597609498464,-0.662339840796089,0.0
1.2,3.84204,4.156025180521793,3.0,1.4450079424377746,-1.382733541320145,0.0,-0.5410704791584231,-0.5699049056838379,0.0
1.22,3.87076,4.128173917080266,3.0,1.4357616495699574,-1.3923320313862477,0.0,-0.4623146433908598,-0.47992450330514025,0.0
1.24,3.8993200000000003,4.100173564466861,3.0,1.428136863809156,-1.400151812565105,0.0,-0.38123928804006946,-0.39098905894285885,0.0
1.26,3.92776,4.072052236839864,3.0,1.4221588162296728,-1.4062234180315076,0.0,-0.29890237897416405,-0.3035802733201365,0.0
1.28,3.9561200000000003,4.043837816398627,3.0,1.4178479790303238,-1.4105697814569924,0.0,-0.21554185996744968,-0.2173181712742389,0.0
1.3,3.98444,4.015558116698137,3.0,1.4152201565024916,-1.4132062512701613,0.0,-0.1313911263916112,-0.1318234906584448,0.0
1.32,4.01272,3.987281028912975,3.0,1.4142863806146622,-1.4141407403819035,0.0,-0.04668879439146956,-0.04672445558711047,0.0
1.34,4.041,3.959034417138938,3.0,1.4150486403524687,-1.4133779909976774,0.0,0.03811298689032627,0.038137469211307895,0.0
1.36,4.06936,3.9308062402613957,3.0,1.4175041508248098,-1.4109152995110779,0.0,0.12277552361705801,0.12313457432997499,0.0
1.3800000000000001,4.0978,3.9026644023891275,3.0,1.4216461257601796,-1.4067417293558446,0.0,0.20709874676848594,0.20867850776166152,0.0
1.4000000000000001,4.12636,3.874636925542187,3.0,1.4274589803022146,-1.4008429103773774,0.0,0.2906427271017531,0.2949409489233612,0.0
1.42,4.15504,3.8467906990441767,3.0,1.434917416177953,-1.3932020703218855,0.0,0.3729217937869178,0.3820420027745963,0.0
1.44,4.1839200000000005,3.819114753022225,3.0,1.4439944098527262,-1.3837919440125663,0.0,0.45384968373866075,0.4705063154659572,0.0
1.46,4.213,3.791675594394191,3.0,1.4546575509972555,-1.3725783800303237,0.0,0.5331570572264632,0.5606781991121301,0.0
1.48,4.24236,3.7644642755114504,3.0,1.4668702686420705,-1.3595188909956124,0.0,0.6106358822407509,0.6529744517355662,0.0
1.5,4.27196,3.7375833200731736,3.0,1.4805804248276273,-1.3445748791410772,0.0,0.685507809277841,0.74720059272676,0.0
1.52,4.301880000000001,3.711024413462939,3.0,1.495728026430581,-1.3277039093676264,0.0,0.7573800801476849,0.8435484886725408,0.0
1.54,4.33212,3.6848518688105716,3.0,1.512255359459713,-1.3088482447500835,0.0,0.8263666514566004,0.9427832308771422,0.0
1.56,4.36272,3.6590942204750934,3.0,1.5300877684596705,-1.2879562961568634,0.0,0.8916204499978764,1.0445974296610094,0.0
1.58,4.39372,3.6337812578821582,3.0,1.5491549364084842,-1.264958095353844,0.0,0.9533583974406845,1.1499100401509699,0.0
1.6,4.42508,3.609006464176047,3.0,1.56935415062403,-1.2398094812990945,0.0,1.0099607107772912,1.257430702737472,0.0
1.62,4.45688,3.584766416378924,3.0,1.5905866781869558,-1.2124495944880291,0.0,1.0616263781462854,1.367994340553269,0.0
1.6400000000000001,4.48916,3.5610928993717224,3.0,1.6127738470231814,-1.1827766138870215,0.0,1.1093584418112812,1.4836490300503824,0.0
1.6600000000000001,4.52188,3.5380751871716463,3.0,1.6357886519061655,-1.1507369318375984,0.0,1.1507402441492065,1.6019841024711545,0.0
1.68,4.55504,3.515769106557016,3.0,1.6594802775204478,-1.1162997843414009,0.0,1.1845812807141143,1.7218573748098764,0.0
1.7,4.58872,3.494178223815844,3.0,1.6837324038150965,-1.0793725919917725,0.0,1.212606314732434,1.846359617481419,0.0
1.72,4.62288,3.4733855950841956,3.0,1.708406323588023,-1.039878759050523,0.0,1.2336959886463217,1.9746916470624765,0.0
1.74,4.65756,3.453422736520791,3.0,1.7333403067864903,-0.9977631887724238,0.0,1.24669915992337,2.10577851390496,0.0
1.76,4.69272,3.434367238533807,3.0,1.7583640170902335,-0.9529721839604225,0.0,1.2511855151871587,2.2395502406000634,0.0
1.78,4.728400000000001,3.416251053569106,3.0,1.783298767760145,-0.9054532041498053,0.0,1.2467375334955788,2.375948990530857,0.0
1.8,4.76456,3.399147553048404,3.0,1.8079574400179943,-0.855154895374856,0.0,1.2329336128924617,2.514915438747467,0.0
1.82,4.8012,3.3831075684719143,3.0,1.8321312853759364,-0.8020567019523743,0.0,1.2086922678971046,2.654909671124084,0.0
1.84,4.83832,3.368182235439316,3.0,1.855617338018211,-0.7461127896278205,0.0,1.1743026321137329,2.797195616227693,0.0
1.86,4.87588,3.354437434075489,3.0,1.8781918409571632,-0.6873102709562411,0.0,1.1287251469476067,2.9401259335789685,0.0
1.8800000000000001,4.91384,3.3419345645208116,3.0,1.8996133695563782,-0.6256748725997099,0.0,1.071076429960749,3.08176991782656,0.0
1.9000000000000001,4.95224,3.330709093634361,3.0,1.9196573737613691,-0.5611733844041448,0.0,1.0022002102495486,3.2250744097782555,0.0
1.92,4.991,3.320833326488082,3.0,1.9380797192629784,-0.4938086692045161,0.0,0.921117275080463,3.368235759981433,0.0
1.94,5.03008,3.3123627480289706,3.0,1.954612684203161,-0.42366172207566094,0.0,0.8266482470091319,3.507347356442758,0.0
1.96,5.06948,3.305344161353792,3.0,1.9690031006344761,-0.35075174937813064,0.0,0.7195208215657556,3.645498634876515,0.0
1.98,5.1090800000000005,3.2998432728485,3.0,1.9809784894793414,-0.27518034853554874,0.0,0.5987694422432632,3.778570042129095,0.0
2.0,5.14888,3.2959025665547506,3.0,1.9902679789560191,-0.19706184801306023,0.0,0.46447447383388685,3.905925026124425,0.0
2.02,5.188840000000001,3.2935721113750627,3.0,1.9966074642247993,-0.11644154671686935,0.0,0.31697426343900714,4.031015064809544,0.0
2.04,5.2288,3.292901946853558,3.0,1.9997187967700527,-0.03353705181635683,0.0,0.155566627262671,4.145224745025626,0.0
2.06,5.268800000000001,3.293932307938177,3.0,1.9993368025411238,0.05150097090963171,0.0,-0.0190997114464464,4.251901136299427,0.0
2.08,5.308680000000001,3.2967008218573026,3.0,1.9951980588133176,0.13850886653051633,0.0,-0.20693718639031022,4.350394781044231,0.0
2.1,5.34844,3.30124837958396,3.0,1.9870452794421092,0.22726868998353084,0.0,-0.4076389685604198,4.437991172650725,0.0
2.12,5.38792,3.3075972769686595,3.0,1.9746301939484223,0.3175462126167089,0.0,-0.6207542746843431,4.513876131658903,0.0
2.14,5.42708,3.315779401968878,3.0,1.9577230204340055,0.40904837765569213,0.0,-0.845358675720842,4.575108251949161,0.0
2.16,5.4658,3.3258091159006735,3.0,1.9361007031167676,0.5015117819062269,0.0,-1.0811158658618925,4.623170212526739,0.0
2.18,5.5040000000000004,3.337704092049586,3.0,1.9095641573577427,0.5946130917955091,0.0,-1.3268272879512488,4.655065494464111,0.0
2.2,5.54152,3.3514490392548484,3.0,1.877952928222018,0.6879627892425201,0.0,-1.5805614567862336,4.667484872350546,0.0
2.22,5.57836,3.3670818853128046,3.0,1.8410960849971354,0.7812587316684664,0.0,-1.8428421612441293,4.6647971212973145,0.0
2.24,5.61432,3.384556189433229,3.0,1.7988586514819342,0.8741324567756295,0.0,-2.1118716757600575,4.643686255358154,0.0
2.2600000000000002,5.64936,3.4038886790229883,3.0,1.7511537658332617,0.9661575898413186,0.0,-2.3852442824336295,4.601256653284458,0.0
2.2800000000000002,5.68332,3.4250287272499857,3.0,1.6979027771352369,1.0569418902647627,0.0,-2.66254943490124,4.539215021172205,0.0
2.3000000000000003,5.71608,3.4479325869911457,3.0,1.6391250353445357,1.1459795454137802,0.0,-2.9388870895350583,4.451882757450876,0.0
2.32,5.74756,3.472576977193979,3.0,1.5748189374441846,1.2328606224010765,0.0,-3.2153048950175567,4.344053849364815,0.0
2.34,5.77768,3.4989395435199384,3.0,1.5049660187223588,1.317223322937676,0.0,-3.4926459360912876,4.218135026829972,0.0
2.36,5.80628,3.5269178242001957,3.0,1.4296675561376135,1.3985888169606904,0.0,-3.764923129237263,4.06827470115072,0.0
2.38,5.83324,3.556421218695216,3.0,1.3491422429154336,1.4764197263587047,0.0,-4.026265661108996,3.8915454699007146,0.0
2.4,5.85852,3.5874404453535647,3.0,1.2634983239472872,1.5503457631710404,0.0,-4.282195948407319,3.696301840616789,0.0
2.42,5.88196,3.619812714480653,3.0,1.1729543636080348,1.6199314988273026,0.0,-4.527198016962619,3.479286782813107,0.0
2.44,5.90352,3.653514840687864,3.0,1.0777754046043457,1.6847552276903426,0.0,-4.758947950184456,3.241186443152,0.0
2.46,5.923080000000001,3.6883959526116756,3.0,0.9782184211113735,1.7444451039222677,0.0,-4.977849174648613,2.984493811596256,0.0
2.48,5.9406,3.7244277212182815,3.0,0.874569404587167,1.7986462566497192,0.0,-5.182450826210322,2.710057636372576,0.0
2.5,5.955920000000001,3.7613012556668006,3.0,0.7673536685607097,1.846934851949689,0.0,-5.360786801322864,2.4144297649984936,0.0
2.52,5.96908,3.799145762197288,3.0,0.6568940083010228,1.889044801442839,0.0,-5.522983012984345,2.1054974746574917,0.0
2.54,5.97996,3.837678054687888,3.0,0.5434717364920619,1.9247437418093616,0.0,-5.671113590448046,1.784947018326133,0.0
2.56,5.98852,3.8767738316140914,3.0,0.42776567886877737,1.9537186399228352,0.0,-5.785302881164228,1.4487449056736823,0.0
2.58,5.994720000000001,3.916249229712619,3.0,0.3103156103732818,1.9757793960760544,0.0,-5.872503424774777,1.103037807660956,0.0
2.6,5.99856,3.9562041086588673,3.0,0.19133519180386846,1.9908266736151035,0.0,-5.949020928470667,0.7523638769524554,0.0
2.62,6.0,4.0,3.0,0.06572407630662837,1.9989197947375577,0.0,-6.280555774862004,0.4046560561227097,0.0
2.64,5.9990000000000006,4.036502156653314,3.0,-0.054770733685899735,1.9992499010207574,0.0,-6.024740499626405,0.016505314159986906,0.0
2.66,5.99568,4.075780753883511,3.0,-0.16844814950437212,1.992893680287173,0.0,-5.683870790923619,-0.3178110366792164,0.0
2.68,5.98992,4.11552468941843,3.0,-0.2868586003528748,1.9793211319549917,0.0,-5.920522542425134,-0.6786274166090678,0.0
2.7,5.98184,4.154622685965815,3.0,-0.4047672889451633,1.9586126318902324,0.0,-5.895434429614424,-1.0354250032379664,0.0
2.72,5.971439999999999,4.193198144776979,3.0,-0.5206143583909056,1.931051705635358,0.0,-5.792353472287117,-1.3780463127437192,0.0
2.74,5.95876,4.231115253560837,3.0,-0.6342994722309839,1.8967509534800544,0.0,-5.684255692003914,-1.7150376077651797,0.0
2.7600000000000002,5.94388,4.2681724594066,3.0,-0.7452467916284267,1.855965306671312,0.0,-5.5473659698721365,-2.0392823404371208,0.0
2.7800000000000002,5.9268,4.304387908904005,3.0,-0.8531246147747858,1.8089163583939898,0.0,-5.3938911573179595,-2.35244741386611,0.0
2.8000000000000003,5.90768,4.339453469441546,3.0,-0.9574468571772305,1.755931523631102,0.0,-5.216112120122235,-2.6492417381443922,0.0
2.82,5.88652,4.373407871189718,3.0,-1.057786151115014,1.6973769347170018,0.0,-5.01696469688917,-2.9277294457050074,0.0
2.84,5.86344,4.406081042126111,3.0,-1.1539197696517973,1.6335449688351844,0.0,-4.806680926839168,-3.1915982940908694,0.0
2.86,5.83856,4.437344124920415,3.0,-1.2454039155801355,1.564918236540704,0.0,-4.57420729641691,-3.431336614724023,0.0
2.88,5.81192,4.467180714470192,3.0,-1.3320367664030823,1.4918706555698518,0.0,-4.33164254114734,-3.652379048542609,0.0
2.9,5.78364,4.49548303320389,3.0,-1.4136556199062753,1.4147712848045104,0.0,-4.0809426751596485,-3.8549685382670673,0.0
2.92,5.75384,4.522164819570304,3.0,-1.4900196852909187,1.3341069437813264,0.0,-3.8182032692321677,-4.033217051159199,0.0
2.94,5.72264,4.547156634182205,3.0,-1.560960873210278,1.2503604089647942,0.0,-3.5470593959679664,-4.187326740826613,0.0
2.96,5.69012,4.57042989577136,3.0,-1.6264091416466482,1.1639558857483443,0.0,-3.2724134218185097,-4.320226160822493,0.0
2.98,5.6564,4.591931900068127,3.0,-1.6863296101696588,1.0753103951255407,0.0,-2.996023426150529,-4.4322745311401786,0.0
3.0,5.621560000000001,4.611643166339909,3.0,-1.7407169019542519,0.9848373811197417,0.0,-2.719364589229656,-4.5236507002899495,0.0
3.02,5.5858,4.629488589169506,3.0,-1.7895459877433526,0.8930426405002553,0.0,-2.441454289455036,-4.589737030974322,0.0
3.04,5.54912,4.645504727194586,3.0,-1.8328896754769692,0.8003220836200451,0.0,-2.1671843866808316,-4.63602784401051,0.0
3.06,5.51172,4.659639380989262,3.0,-1.8708488342121472,0.7070534912770384,0.0,-1.8979579367588983,-4.663429617150333,0.0
3.08,5.47368,4.67190377259562,3.0,-1.9035133584659483,0.6137074988475263,0.0,-1.6332262126900532,-4.667299621475607,0.0
3.1,5.43504,4.682319589276102,3.0,-1.9310715967193437,0.5205405731965618,0.0,-1.3779119126697714,-4.658346282548226,0.0
3.12,5.3959600000000005,4.690878854898559,3.0,-1.953690225460141,0.4278954345882926,0.0,-1.1309314370398615,-4.632256930413458,0.0
3.14,5.35656,4.697597497973897,3.0,-1.9715407667634381,0.33619489137973974,0.0,-0.8925270651648609,-4.585027160427643,0.0
3.16,5.31684,4.7025134810127645,3.0,-1.9848557570178567,0.24565753363793016,0.0,-0.6657495127209256,-4.526867887090479,0.0
3.18,5.27696,4.705644395799111,3.0,-1.9938647785579084,0.15653512329896996,0.0,-0.45045107700258935,-4.45612051694801,0.0
3.2,5.237,4.7070269294830895,3.0,-1.9988040561122682,0.06915450288407791,0.0,-0.24696387771798722,-4.369031020744602,0.0
3.22,5.197,4.706700776773131,3.0,-1.999933518571099,-0.01630709342048138,0.0,-0.05647312294153606,-4.273079815227964,0.0
3.24,5.15708,4.704709438273511,3.0,-1.997516297725038,-0.09964256280755818,0.0,0.12086104230304429,-4.166773469353839,0.0
3.2600000000000002,5.11724,4.701095118859591,3.0,-1.9918201810973686,-0.18069965736892232,0.0,0.28480583138347226,-4.0528547280682075,0.0
3.2800000000000002,5.07756,4.6959052356285484,3.0,-1.9831094813929235,-0.25937768757063673,0.0,0.4355349852222523,-3.93390151008572,0.0
3.3000000000000003,5.03812,4.689193918937733,3.0,-1.9716578412466126,-0.3355076110176158,0.0,0.5725820073155474,-3.8064961723489525,0.0
3.3200000000000003,4.999,4.681022466015568,3.0,-1.9577462056417616,-0.40893739654779016,0.0,0.695581780242549,-3.671489276508719,0.0
3.34,4.96016,4.671427869929321,3.0,-1.9416348406995176,-0.47963959947210233,0.0,0.8055682471121983,-3.5351101462156085,0.0
3.36,4.92168,4.6604736244485805,3.0,-1.9235757215844465,-0.5475914931140519,0.0,0.9029559557535594,-3.3975946820974765,0.0
3.38,4.8835999999999995,4.648218406936694,3.0,-1.9038353513826083,-0.612707887027628,0.0,0.9870185100919082,-3.2558196956788077,0.0
3.4,4.84596,4.6347242063234155,3.0,-1.882669025181072,-0.67494988082357,0.0,1.0583163100768123,-3.1120996897970987,0.0
3.42,4.8087599999999995,4.620040312322986,3.0,-1.860315848555684,-0.7343193743954632,0.0,1.117658831269397,-2.9684746785946623,0.0
3.44,4.772,4.604214589300455,3.0,-1.8369950314969201,-0.7908534973404551,0.0,1.1660408529381994,-2.8267061472495913,0.0
3.46,4.73576,4.58733273329592,3.0,-1.8129437343216415,-0.8445324245900222,0.0,1.2025648587639326,-2.6839463624783564,0.0
3.48,4.7,4.569429061336052,3.0,-1.7883805913187547,-0.8953741455918759,0.0,1.2281571501443378,-2.5420860500926845,0.0
3.5,4.66472,4.550554484764049,3.0,-1.7634886399648562,-0.9434552542197756,0.0,1.2445975676949272,-2.4040554313949856,0.0
3.52,4.62996,4.5307838710098345,3.0,-1.7384701196899284,-0.9887980799664239,0.0,1.2509260137463896,-2.2671412873324135,0.0
3.54,4.59568,4.510148819319042,3.0,-1.7135054261163492,-1.0314548728227662,0.0,1.248234678678961,-2.1328396428171135,0.0
3.56,4.56192,4.488728963273783,3.0,-1.6887665399184122,-1.0714791522246216,0.0,1.236944309896848,-2.0012139700927745,0.0
